,Methodology Maxim Acceptance,,,,,,Subjective Norm,,,,Perceived Usefulness,,,,,Mandatoriness ,,,,Comptability,,,,External Support,,,,Single Item,Single Item,Latent,Latent
Identifier,Agile_Val_P,Sys_Think,Lean,Transparency,Cont_Improve,Decent_Decision,Peer,Supervisor,Trade_Pub,Prof_Org,Soft_Qual,Deliv_Time,Lower_Cost,Cust_Satisf,Team_Satisf,Compulsory,Required,Explicit_Pol,Strong_Pref,Way_Dev,Handle_Large,Recon_Stake,Spec_Inst,Coaching,Net_Support,Help_Res,Resp_Change,Experience,LogOrg,Compatibility_Latent,Perceived Usefulness_Latent
ID,ACC_1,ACC_2,ACC_3,ACC_4,ACC_5,ACC_6,SNO_1,SNO_2,SNO_3,SNO_4,PUF_1,PUF_2,PUF_3,PUF_4,PUF_5,MND_1,MND_2,MND_3,MND_4,CMT_1,CMT_2,CMT_3,CMT_4,EBS_1,EBS_2,EBS_3,EBS_4,EXP,ORG,0.68,1.185
1,7,7,7,7,7,7,7,7,4,4,7,7,7,7,7,5,5,5,7,7,7,5,7,7,7,7,7,10,2.7,-0.991,0.004
2,6,6,6,6,6,6,6,4,2,4,6,6,6,6,6,6,6,6,6,5,5,5,6,6,6,6,5,5,4,-2.089,0.004
3,6,6,6,7,7,6,7,7,4,4,6,6,6,6,6,6,4,6,5,4,4,4,6,6,6,6,4,23,3.08,-2.089,1.185
4,5,6,5,5,6,6,4,4,4,4,7,7,7,7,7,6,6,7,7,4,4,4,7,7,7,7,4,7,2.48,0.39,0.25
5,5,6,6,6,7,5,7,5,7,6,6,7,6,5,7,7,7,5,6,7,6,5,6,7,7,5,7,12,1.52,0.386,0.258
6,7,7,6,6,6,7,7,6,7,7,6,7,6,6,6,6,6,7,6,7,6,6,7,7,5,6,6,5,3.08,0.107,-0.198
7,3,3,4,4,3,4,5,6,5,5,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,3.3,0.665,0.249
8,7,5,6,7,7,5,4,7,5,5,5,6,6,7,7,7,6,5,7,6,7,6,7,7,6,5,7,12,3.99,0.096,-0.234
9,6,6,6,5,5,6,6,6,7,6,6,6,6,6,5,5,6,5,6,5,6,6,5,6,6,6,7,5,3.4,0.66,0.946
10,7,7,6,7,7,6,6,6,7,7,7,7,7,7,6,6,7,5,7,6,7,7,6,7,7,7,6,7,0.9,0.66,0.691
11,6,5,6,5,5,5,7,7,6,6,6,6,7,7,7,7,6,7,6,6,7,7,6,6,7,7,6,10,2.4,-1.532,-1.619
12,4,5,5,4,4,4,4,5,3,3,4,5,4,5,5,4,4,4,4,4,5,4,4,4,5,5,5,6,4.95,-0.434,-0.438
13,5,6,4,5,5,5,5,5,5,5,5,6,5,6,6,4,4,4,5,5,6,5,5,6,5,6,6,4,2.7,0.665,0.737
14,7,6,6,7,6,6,7,6,6,5,7,7,6,6,7,6,6,6,7,6,7,6,6,6,7,7,7,9,4.27,-0.445,-0.438
15,5,4,5,5,5,5,6,6,5,6,5,6,5,6,6,6,5,5,6,6,5,5,5,5,6,6,6,5,2.7,0.676,0.489
16,6,6,5,5,6,6,6,5,5,6,6,6,6,7,7,6,7,5,4,7,7,6,6,7,6,7,6,20,3,0.665,0.698
17,7,6,5,6,7,6,6,6,7,7,6,7,7,6,7,6,7,6,7,6,7,6,6,7,7,6,7,10,3,0.66,0.698
18,6,6,6,7,5,6,7,6,6,6,6,7,7,6,7,7,6,7,6,6,7,7,6,6,7,7,6,14,2.7,0.649,0.708
19,7,6,7,7,7,7,5,7,7,7,7,7,7,7,5,7,6,7,7,5,7,7,7,5,7,7,7,10,1.4,-0.728,-0.496
20,4,4,5,5,4,5,5,6,5,6,6,5,6,5,6,6,6,5,5,5,5,6,6,5,6,5,5,4,2.68,0.939,0.496
21,6,7,7,7,7,7,5,7,7,7,6,7,6,6,7,5,7,7,7,7,7,7,7,7,5,7,6,10,1.4,0.123,0.543
22,7,6,7,6,6,5,6,6,7,7,7,7,5,7,6,2,2,3,5,7,6,5,7,6,6,7,6,3,2.9,1.206,0.743
23,6,7,7,7,5,5,5,7,7,7,6,7,6,7,7,5,4,6,6,7,7,7,7,6,7,6,7,10,2.74,0.107,0.491
24,7,7,6,7,5,6,6,5,7,6,7,6,6,7,6,7,7,5,4,6,6,6,6,6,7,7,6,20,2.3,-0.431,0.744
25,7,7,7,7,7,7,4,4,4,4,7,7,6,7,6,4,4,7,7,4,7,7,7,5,7,7,4,11,2.88,0.66,-0.475
26,7,7,7,7,6,6,6,6,5,5,5,6,6,6,5,6,6,5,5,6,7,7,5,5,6,6,6,5,3.4,0.386,0.46
27,6,6,7,6,7,6,6,6,5,6,6,7,7,6,6,5,6,6,6,7,6,6,6,6,6,7,6,8,3.23,0.397,0.445
28,6,6,6,6,6,7,6,6,6,6,6,6,7,6,7,5,7,6,6,6,7,6,6,6,6,7,6,10,2.78,0.68,0.692
29,7,7,5,7,7,7,7,7,7,6,7,7,7,5,7,7,7,7,5,7,7,5,6,7,7,7,7,10,1.4,0.638,0.446
30,7,6,6,6,6,7,7,6,6,7,7,6,7,6,6,6,5,5,6,6,6,7,6,6,7,6,7,7,1.85,0.66,0.491
31,6,6,6,7,7,7,6,7,7,6,7,6,6,7,6,6,7,7,6,6,7,7,7,7,6,5,6,8,1.58,0.676,0.452
32,6,5,6,7,7,6,6,7,6,7,6,6,7,7,6,7,7,6,7,7,7,6,6,6,7,6,6,6,3.51,-0.713,-0.49
33,4,5,5,6,5,4,6,5,6,5,5,5,6,6,6,7,6,5,6,6,5,5,7,5,4,7,5,8,2.88,-1.822,-1.655
34,5,4,5,4,4,3,4,5,4,5,4,5,5,5,4,5,4,4,5,4,4,4,4,5,5,5,5,4,2.51,-0.178,0.446
35,6,6,7,7,7,7,6,7,7,6,7,6,7,6,6,6,7,6,6,6,5,5,7,5,6,7,7,12,1.7,-0.193,0.496
36,7,7,7,6,6,6,7,6,6,7,6,7,6,6,7,6,7,6,5,5,5,6,6,7,6,6,7,25,3,0.37,0.7
37,5,6,6,6,7,6,7,7,6,7,7,7,7,6,6,6,7,7,6,6,6,7,7,7,7,6,6,3,3.02,0.107,0.243
38,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,5,6,3,7,6,6,6,6,6,6,6,6,7,1.32,1.206,0.946
39,7,7,5,7,7,6,7,7,5,6,7,7,7,7,6,7,3,4,7,7,7,7,7,7,7,7,7,14,2.73,0.123,-0.229
40,5,5,6,7,6,6,6,6,6,5,5,7,6,5,6,7,7,6,5,7,6,5,6,7,5,6,6,12,2,0.13,-0.242
41,5,6,6,6,6,7,5,6,6,7,6,6,6,5,6,7,5,6,6,6,7,6,5,7,6,6,5,5,2,1.206,0.983
42,7,7,7,7,6,7,7,7,5,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,2.98,0.119,0.264
43,6,7,7,6,6,6,7,6,6,7,5,7,6,7,6,6,6,7,7,5,7,6,6,7,5,6,6,6,0.95,-0.751,-0.878
44,5,5,5,6,4,6,7,5,5,6,5,6,4,6,5,5,6,5,5,5,4,6,5,5,6,4,6,8,1.7,0.66,0.26
45,4,6,7,3,5,5,5,6,6,5,7,7,6,6,5,6,7,6,5,6,7,7,5,6,7,6,6,9,2.3,0.676,0.931
46,6,7,6,6,5,6,7,6,6,7,7,6,7,7,7,7,6,7,7,7,7,6,7,7,7,7,6,13,2.1,0.665,0.193
47,7,6,5,6,7,4,6,6,7,7,7,5,7,6,6,6,6,7,7,6,7,6,5,6,6,7,7,10,3.65,0.665,0.294
48,6,6,5,7,7,6,6,7,7,6,6,7,5,6,7,5,7,6,6,6,7,6,5,6,6,7,7,15,1.18,0.626,0.213
49,6,5,6,6,7,7,7,6,7,6,6,7,7,5,6,6,5,6,7,7,5,7,6,5,7,6,7,10,1.4,0.916,0.243
50,3,7,5,5,6,4,7,6,6,7,6,6,6,6,7,7,7,6,6,7,6,7,6,6,6,6,7,3,2.02,-0.183,-0.93
51,6,7,7,6,6,5,6,6,5,6,5,5,5,6,5,6,6,6,5,6,5,6,5,5,5,5,6,3,2.9,0.928,1.185
52,7,2,5,5,6,4,6,7,7,5,7,7,7,7,7,7,4,5,5,6,7,7,7,7,7,6,7,8,1.3,0.649,1.185
53,6,7,7,7,7,7,6,7,7,6,7,7,7,7,7,5,7,7,4,5,7,7,7,6,7,7,7,5,3.7,1.206,1.185
54,7,6,5,6,7,7,5,7,7,6,7,7,7,7,7,6,6,7,7,7,7,7,7,7,6,7,7,7,2,0.103,0.012
55,7,6,6,5,6,6,6,6,5,6,6,6,6,7,5,7,5,6,6,6,6,7,7,6,6,6,5,3,0.6,0.096,-0.011
56,5,5,7,6,6,6,6,7,6,6,6,5,6,6,7,6,7,5,6,5,6,6,6,6,7,6,7,5,3.33,0.375,-0.011
57,6,6,5,7,6,4,6,5,5,5,6,5,6,6,7,3,3,5,3,6,6,6,6,5,6,6,7,4,5.4,-0.155,-0.04
58,5,5,5,6,5,5,7,6,6,6,6,6,7,5,6,6,7,6,5,6,6,5,6,6,7,6,6,20,2.7,0.375,0.237
59,7,6,6,6,6,7,6,7,7,6,7,5,6,7,6,7,6,5,6,6,6,6,6,6,7,7,7,8,1.61,0.123,0.26
60,5,6,5,5,5,6,3,6,5,5,7,7,6,6,5,4,7,6,6,7,6,5,6,6,7,7,6,5,3.14,0.112,0.281
61,6,7,6,6,7,7,7,7,6,6,7,6,5,6,7,7,6,7,5,6,6,5,7,7,6,6,7,5,3,0.085,-0.279
62,7,7,5,6,5,6,6,6,5,7,6,6,7,5,5,6,7,6,7,6,5,6,5,6,7,4,7,5,1.7,0.916,0.504
63,5,6,5,5,7,6,7,7,5,5,6,7,6,7,6,6,6,7,7,7,6,7,7,7,6,7,7,5,2.7,0.638,0.445
64,7,6,6,6,5,7,7,7,6,7,6,6,7,6,7,6,7,7,6,6,6,7,7,7,6,7,7,5,0.6,0.66,0.7
65,5,5,5,5,6,6,6,6,5,6,7,7,7,6,6,5,6,6,6,6,7,7,6,7,6,6,6,4,3.3,0.408,-0.714
66,6,5,5,5,4,5,4,6,5,5,5,7,6,4,5,5,5,7,7,7,7,6,5,7,6,5,5,5,2.3,-2.379,-1.878
67,6,6,7,7,7,6,3,2,3,2,5,4,4,4,5,4,3,2,3,4,3,4,4,3,4,5,4,6,1,0.943,0.698
68,7,7,7,6,6,6,7,7,6,6,6,7,7,6,7,5,6,6,5,7,7,6,7,7,7,7,7,2,3,0.943,0.743
69,7,7,6,6,7,7,7,7,6,7,6,7,6,7,7,7,7,6,7,7,7,6,7,7,7,7,7,20,2.4,0.66,0.491
70,6,6,6,7,7,4,6,6,4,5,7,6,6,7,6,4,4,4,6,6,7,7,6,6,6,6,6,25,3.3,0.676,0.506
71,7,7,6,7,7,5,7,4,5,5,7,7,6,7,5,6,7,7,6,7,7,6,6,6,6,6,6,12,3.39,-0.438,-0.384
72,7,6,6,5,4,5,4,5,6,7,6,7,4,6,5,5,6,6,5,5,6,6,5,5,7,7,5,5,3.4,0.649,0.452
73,7,6,6,6,6,7,6,7,6,6,6,6,7,7,6,6,7,7,6,7,6,7,6,6,5,7,6,8,1.61,-0.708,-0.392
74,5,7,5,6,6,6,4,6,5,6,6,7,4,5,6,5,6,5,4,6,5,4,7,4,6,7,6,8,2.7,-0.968,0.527
75,4,6,5,4,6,5,5,7,5,6,7,6,5,7,7,6,5,4,5,5,6,5,5,6,6,7,4,5,3.18,0.107,-0.69
76,5,5,5,5,5,4,6,6,4,6,6,5,5,6,5,6,6,5,6,6,6,6,4,4,6,6,6,2,5,-0.705,-1.372
77,6,5,5,6,7,5,7,6,5,5,4,5,4,6,5,6,5,6,5,5,6,6,5,4,6,6,4,6,3.08,-0.45,-1.424
78,5,5,4,5,5,3,5,4,4,5,4,4,5,6,5,4,6,3,5,6,5,6,4,5,6,6,5,5,2.95,0.096,-0.196
79,7,6,5,5,7,6,6,5,5,4,7,6,5,6,5,7,6,7,6,5,6,6,7,6,6,6,7,8,3.24,-1.827,-2.104
80,4,4,4,4,4,4,4,4,4,3,4,5,4,4,4,4,4,5,4,4,4,5,4,3,4,4,4,6,2.7,0.649,0.056
81,6,6,7,7,7,6,6,7,7,7,6,7,5,6,6,7,6,7,6,7,6,7,6,6,7,7,6,5,3.4,-0.445,-1.138
82,5,5,5,4,5,5,6,6,5,5,6,5,4,5,5,5,5,5,5,6,5,5,6,5,6,5,6,10,2,0.939,1.185
83,7,7,6,7,7,7,7,5,7,6,7,7,7,7,7,3,3,4,5,7,7,7,6,6,7,7,6,7,3.7,-0.16,0.004
84,5,5,6,6,6,5,5,6,6,5,6,6,6,6,6,5,4,5,6,6,6,6,5,6,6,5,5,5,1.69,0.13,0.002
85,7,7,6,7,6,6,6,7,6,7,5,6,6,6,7,7,6,6,7,6,7,6,6,7,6,7,5,5,2.7,0.359,0.047
86,7,4,4,7,7,5,5,5,4,6,5,6,5,7,7,3,2,2,5,7,5,7,5,5,6,6,6,2,2.74,-1.548,-2.104
87,5,4,4,4,4,5,5,5,3,4,4,5,4,4,4,5,4,4,5,5,4,5,4,5,5,5,4,12,2.71,0.676,0.341
88,7,6,7,7,6,6,6,6,7,7,7,7,4,7,6,6,7,6,7,7,7,6,6,7,7,7,6,7,2.38,0.638,0.281
89,7,7,6,7,6,6,7,5,6,6,7,6,5,6,7,6,6,6,7,6,6,7,7,6,7,7,7,3,0.3,0.649,0.244
90,7,7,7,7,6,6,6,7,7,7,7,6,6,6,6,5,6,7,6,7,6,7,6,7,7,7,6,3,2.3,0.916,0.945
91,7,6,7,7,5,7,7,6,7,7,6,7,7,7,7,6,7,7,7,7,6,7,7,7,6,5,7,20,1.48,0.928,0.46
92,6,7,6,7,6,5,6,6,7,7,6,7,7,6,6,7,6,7,7,6,7,7,7,7,7,7,7,10,2,0.402,0.579
93,7,7,6,6,7,5,7,5,3,7,7,7,4,7,7,4,2,5,7,6,7,5,7,7,7,7,7,6,2.71,-0.155,0.491
94,7,4,4,5,6,5,7,6,6,7,7,6,6,7,6,6,7,6,6,6,6,5,5,5,7,6,6,6,2.65,0.39,-0.459
95,5,5,7,7,5,6,6,6,6,7,6,5,5,5,7,6,6,6,7,7,6,5,6,7,6,6,7,6,2.85,-0.155,0.451
96,7,5,6,6,6,6,6,6,6,7,5,6,7,7,7,6,5,6,6,6,6,5,6,6,5,6,6,10,1.95,-0.423,-0.198
97,6,6,6,7,5,6,5,7,5,7,6,6,5,6,6,5,5,5,6,6,6,5,6,7,7,6,5,8,2.7,0.66,-0.055
98,5,4,4,3,6,5,6,7,4,5,6,5,7,5,7,4,4,4,5,6,7,7,7,6,7,7,6,7,3.04,-0.438,0.002
99,6,6,5,7,6,5,6,6,5,5,5,6,6,6,7,4,4,5,5,5,6,6,5,6,5,5,5,8,3.48,0.943,0.333
100,7,7,7,6,7,4,7,7,5,7,7,7,4,6,7,7,7,7,6,7,7,6,7,7,7,7,7,8,3.06,-0.145,0.945
101,5,6,6,4,5,6,7,7,5,6,6,7,7,7,7,5,6,4,6,7,6,5,5,5,7,7,5,5,2.7,0.943,0.983
102,7,6,6,6,7,4,7,7,5,7,7,7,6,7,7,7,6,6,7,7,7,6,7,5,6,6,7,15,4.04,-1.254,-0.946
103,4,6,4,6,5,5,4,5,5,4,5,4,5,6,6,4,5,5,4,5,5,4,7,5,6,6,5,23,1.36,0.085,-0.638
104,5,5,6,7,5,7,5,6,3,6,6,6,4,6,5,6,4,5,6,6,5,6,7,6,5,7,7,10,3.08,0.397,0.685
105,5,6,6,7,6,5,5,6,5,5,7,6,7,6,7,6,4,7,6,6,7,6,6,5,6,6,6,15,2.4,-0.45,-0.481
106,6,5,5,4,6,5,4,5,5,4,6,6,6,5,5,3,3,5,5,6,5,6,5,4,5,5,5,5,3.08,0.397,-0.452
107,5,6,5,7,6,6,5,7,7,7,6,5,5,6,6,5,5,6,6,6,7,6,6,6,7,7,6,2,1.9,-0.183,0.446
108,7,7,6,7,6,6,7,7,7,6,7,6,7,6,6,6,6,6,6,6,5,6,6,5,5,6,6,4,2,-0.964,0.491
109,2,1,2,2,1,1,6,6,7,7,7,6,6,7,6,4,5,4,3,5,6,4,6,5,6,5,5,5,1,0.107,0.491
110,6,5,5,5,5,4,4,6,4,5,7,6,6,7,6,6,5,5,6,6,6,6,6,4,6,6,6,11,2.8,0.649,0.452
111,6,5,6,7,6,6,7,6,7,7,6,6,7,7,6,7,6,6,6,7,6,7,4,7,5,6,6,8,2.3,0.943,0.489
112,7,7,6,7,7,7,7,7,1,1,6,6,6,7,7,1,1,7,1,7,7,6,7,1,7,7,7,10,3.54,0.943,1.185
113,7,7,3,7,7,7,7,3,7,7,7,7,7,7,7,5,5,5,5,7,7,6,6,6,6,6,7,5,1.3,-1.285,-1.146
114,5,6,4,6,5,5,5,6,5,7,6,5,4,4,6,7,6,5,4,5,4,6,6,7,6,5,4,12,4.24,-0.449,0.729
115,6,7,5,6,7,7,6,7,5,7,7,6,6,7,7,6,3,5,6,4,6,6,5,5,6,6,6,12,2.51,-0.728,0.7
116,7,7,6,6,7,6,6,6,5,7,7,7,7,6,6,4,4,5,5,5,5,6,5,5,6,6,5,10,2.7,-1.827,-3.284
117,5,3,4,4,4,4,4,5,4,4,3,4,3,3,3,3,4,3,3,4,4,5,5,6,3,4,4,15,1.4,-1.254,-1.856
118,4,3,4,4,4,3,5,5,3,2,5,5,4,5,3,3,3,3,3,5,5,4,3,3,3,3,5,3,3.9,-0.155,-0.855
119,5,5,4,7,6,3,5,7,4,4,6,5,3,6,6,5,3,4,6,6,6,5,5,2,3,5,6,6,3.01,-2.067,-1.638
120,4,5,3,4,5,3,5,6,4,6,6,3,4,6,4,6,5,2,3,4,5,4,3,3,3,3,3,1,3,-0.991,-0.936
121,4,4,4,4,5,4,5,1,5,5,6,5,5,5,5,4,4,4,4,5,5,5,3,3,3,3,5,2,1.7,-3.718,-2.836
122,6,7,6,6,7,7,6,7,7,6,3,4,4,4,3,5,5,5,5,3,3,2,1,1,1,1,2,5,0.85,-5.385,-5.899
123,3,2,3,3,3,2,2,2,2,2,1,1,1,1,1,4,6,6,4,1,1,1,4,4,4,4,1,5,2.7,,
