No.,Q1,Q2,Q3,Q4,Q5,Q6,OC1,OC2,OC3,OC4,OC5,PSS1,PSS2,PSS3,PSS4,PSS5,JS1,JS2,JS3,JS4,JS5,JP1,JP2,JP3
1,1,1,2,2,1,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4
2,1,2,2,2,1,4,4,5,5,5,3,4,5,5,5,5,4,4,4,4,4,5,5,5
3,2,2,2,2,1,3,4,4,4,4,3,5,4,4,4,4,3,3,3,4,3,4,3,3
4,2,1,2,2,1,3,5,4,4,4,3,4,5,4,4,4,3,3,3,3,4,3,3,3
5,1,2,1,2,1,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4
6,1,2,2,3,1,2,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,4
7,1,1,2,2,1,3,5,5,5,4,4,4,4,5,4,4,4,4,4,4,4,4,5,4
8,1,2,2,3,1,2,5,5,5,5,4,4,4,5,4,4,5,5,5,5,5,4,4,4
9,2,2,1,2,1,4,4,4,4,4,4,5,5,5,5,4,4,5,4,4,4,5,5,5
10,1,2,2,2,1,3,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4
11,1,2,2,2,1,4,4,5,5,5,5,4,4,4,4,5,5,5,5,5,4,5,5,4
12,1,1,2,2,1,4,5,5,5,5,4,4,4,4,5,4,5,4,5,5,5,5,5,4
13,3,2,2,3,1,2,5,5,4,5,5,5,5,5,4,5,4,4,4,5,4,5,5,5
14,1,2,2,2,1,4,5,4,5,5,5,5,5,4,5,5,4,4,4,4,4,4,5,4
15,1,2,2,2,1,4,5,4,4,4,4,5,5,5,4,5,5,5,5,4,5,4,4,4
16,1,1,1,1,0,4,4,4,4,5,3,4,4,5,4,4,3,3,3,3,4,4,4,4
17,3,2,2,3,1,2,5,5,5,5,4,5,4,5,5,5,5,5,5,4,5,4,4,4
18,1,2,2,2,0,4,5,5,5,4,5,4,5,5,5,5,5,4,4,4,4,5,5,4
19,1,2,2,3,1,2,4,5,5,5,4,4,5,5,5,5,4,4,4,4,4,4,4,4
20,4,2,2,4,1,1,3,4,4,4,3,4,4,5,4,4,4,4,4,4,4,4,4,4
21,3,2,2,2,0,3,5,5,5,5,4,5,5,4,5,5,4,5,5,5,5,4,4,5
22,2,2,2,2,0,3,5,5,4,5,4,4,4,4,5,4,5,5,5,5,5,5,4,4
23,3,2,2,2,0,3,4,4,4,4,5,5,4,4,4,4,4,5,5,5,5,4,5,5
24,1,1,1,2,1,4,4,4,4,5,5,5,5,5,4,5,4,4,4,4,4,4,4,4
25,1,2,2,2,1,4,5,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
26,1,2,2,2,1,4,4,4,4,3,3,3,3,3,3,4,3,4,3,3,3,3,4,3
27,1,2,1,2,1,4,4,5,5,5,4,4,4,4,4,4,5,5,5,5,4,4,4,4
28,3,1,2,3,1,2,3,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,5,4
29,3,2,2,3,1,2,4,5,5,5,3,5,5,5,5,4,4,5,4,4,4,4,5,4
30,1,2,2,2,1,4,3,4,4,4,3,4,4,4,4,3,4,4,4,4,4,3,4,4
31,1,1,2,2,1,4,4,4,4,4,4,4,4,4,4,4,5,5,4,5,5,5,4,4
32,3,2,3,3,1,2,4,5,5,5,5,4,4,5,4,4,5,4,4,4,4,4,5,5
33,3,1,3,4,1,1,5,5,5,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4
34,3,2,3,3,1,2,4,4,4,5,3,4,4,4,5,4,4,4,4,4,4,4,5,4
35,2,1,1,2,1,4,4,4,4,4,5,5,4,5,5,5,4,5,4,4,4,5,5,5
36,3,2,3,4,1,1,4,4,4,4,4,5,5,5,5,4,4,5,5,5,5,4,5,5
37,3,1,2,2,1,3,4,4,4,4,4,5,4,5,5,5,4,4,4,4,4,4,4,4
38,2,2,2,2,1,4,5,5,5,5,4,4,4,4,3,4,5,4,4,4,4,4,4,4
39,3,2,3,3,1,3,5,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,5
40,1,2,1,1,0,4,4,4,5,4,5,4,4,4,5,4,5,5,5,4,5,4,5,4
41,2,1,2,2,1,4,4,5,5,5,4,4,5,4,4,4,4,4,4,4,4,5,4,4
42,1,2,2,2,1,3,4,5,4,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4
43,2,1,2,2,0,4,4,4,4,5,4,4,5,5,5,5,4,4,4,4,4,4,5,4
44,3,2,3,3,1,2,4,4,4,4,4,4,5,4,4,4,4,4,5,4,4,4,5,5
45,2,2,2,2,1,4,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5
46,4,2,3,3,1,3,3,3,3,3,3,4,4,4,3,4,3,3,3,3,4,5,4,4
47,1,2,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4
48,4,2,2,4,1,1,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,5,5,5
49,1,2,1,2,0,4,4,5,4,4,3,4,4,4,4,5,4,3,4,4,4,4,4,4
50,1,2,2,2,1,4,4,4,4,4,4,5,5,4,5,5,4,5,4,4,4,4,5,5
51,1,1,2,2,0,4,4,5,4,4,3,4,4,4,4,4,4,4,5,4,4,5,5,5
52,4,2,2,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
53,1,2,1,2,0,4,4,4,3,4,4,4,4,4,4,5,4,5,4,4,4,4,4,3
54,4,2,2,4,1,1,5,5,5,4,4,4,4,4,4,4,5,5,4,5,5,4,4,4
55,1,1,1,1,1,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,3
56,2,2,2,2,1,4,5,5,5,5,4,4,5,4,4,4,4,5,5,5,5,4,4,4
57,1,1,2,2,0,4,4,4,4,4,5,4,4,4,4,4,4,5,5,5,5,5,4,5
58,1,2,2,2,0,4,3,3,3,4,3,3,4,3,3,3,4,4,4,4,4,4,4,5
59,2,2,2,3,1,2,5,5,4,5,5,4,4,4,5,4,4,4,4,4,4,5,4,5
60,1,2,1,1,1,4,5,5,5,5,3,4,5,4,4,4,4,4,4,4,4,4,4,4
61,3,2,2,2,0,3,4,4,5,4,3,5,5,5,5,4,4,4,4,4,4,5,5,4
62,4,2,2,3,1,2,4,4,4,4,4,5,5,5,5,4,4,4,4,3,4,4,4,3
63,3,1,2,3,1,3,4,5,4,4,5,5,5,5,4,5,4,5,5,5,5,5,4,5
64,1,2,2,2,0,4,4,4,4,4,4,5,5,5,5,4,5,4,4,4,4,3,4,4
65,1,2,1,2,0,4,4,4,4,4,4,5,4,4,4,4,4,5,5,5,5,5,5,5
66,1,2,1,1,0,4,3,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,3,4
67,3,1,2,2,1,3,4,4,4,5,4,4,4,5,4,4,4,4,5,4,4,4,4,3
68,1,2,1,1,0,4,2,2,2,2,3,3,2,3,3,3,4,4,4,4,4,3,3,2
69,3,2,2,3,1,3,4,4,4,4,4,5,5,5,5,5,5,5,5,4,5,5,4,5
70,1,1,1,1,1,4,4,4,3,4,3,4,4,5,4,4,4,4,4,4,3,4,5,4
71,1,2,2,2,0,4,4,4,4,4,3,4,4,3,4,4,4,4,5,4,4,3,3,3
72,3,2,3,3,1,2,4,4,4,5,5,4,5,4,4,4,5,5,5,5,4,4,5,4
73,3,1,3,2,1,3,4,5,4,4,3,4,5,4,4,4,5,4,4,4,4,4,4,3
74,2,2,2,3,1,2,4,5,4,4,4,5,5,5,5,4,5,4,5,5,5,4,4,4
75,1,2,2,2,0,4,4,4,4,4,4,5,5,4,5,5,5,5,5,5,4,5,5,5
76,1,1,1,2,1,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,5,4,4,4
77,2,2,2,2,1,4,4,4,4,5,4,5,5,5,4,5,4,4,5,4,4,5,4,4
78,2,2,2,3,1,3,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5
79,3,2,3,3,1,2,5,4,4,4,5,4,4,4,4,4,5,5,5,4,5,4,4,5
80,2,2,1,2,1,4,4,4,4,4,4,4,5,4,4,4,5,4,5,5,5,4,4,4
81,1,2,1,1,0,4,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5
82,3,1,3,3,1,2,5,4,4,4,4,5,4,4,4,4,5,5,4,5,5,4,5,5
83,3,2,3,2,1,3,4,5,4,4,4,4,4,4,4,4,4,5,4,4,4,5,5,5
84,2,2,2,3,1,2,5,4,5,5,5,4,3,4,4,4,5,4,5,5,5,5,5,5
85,3,2,3,3,1,2,5,5,5,5,3,5,5,5,5,4,4,4,4,5,4,5,5,5
86,3,1,3,2,1,3,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5
87,1,2,1,1,1,4,3,3,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4
88,3,2,2,2,0,4,4,4,4,5,4,5,4,5,5,5,4,5,5,5,5,5,5,4
89,1,2,1,1,0,4,5,4,4,4,5,5,5,4,5,5,4,5,5,5,5,5,5,5
90,3,2,2,2,1,3,5,5,4,5,4,4,5,5,5,5,4,4,5,4,4,4,5,5
91,3,1,2,2,1,3,4,5,5,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4
92,2,2,1,2,0,4,5,4,4,4,5,4,5,4,4,4,5,4,4,4,4,4,4,4
93,2,2,2,2,1,4,5,4,5,5,5,5,5,5,4,5,5,5,5,4,5,5,4,5
94,2,2,2,2,1,4,4,4,3,4,3,3,3,3,4,3,4,4,4,4,3,4,4,4
95,3,2,2,2,1,4,4,5,4,4,5,5,5,5,4,5,5,4,5,5,5,5,5,5
96,3,2,2,3,1,2,3,3,3,4,4,3,3,4,3,3,4,4,5,4,4,4,4,4
97,3,2,2,3,1,3,5,5,5,5,5,5,5,4,5,5,5,4,4,4,4,5,5,4
98,3,1,2,3,1,3,5,5,5,5,5,4,5,5,5,5,4,4,4,4,4,4,5,5
99,1,1,2,2,0,3,4,4,4,4,5,5,4,4,4,4,5,5,5,5,5,5,4,5
100,1,2,2,2,0,4,5,4,5,5,4,4,5,5,5,5,5,5,5,5,4,4,5,5
101,3,2,2,3,1,2,4,4,4,4,5,4,4,4,4,4,5,4,5,5,5,4,4,4
102,3,1,2,3,1,2,4,4,4,4,4,5,4,4,4,4,5,5,5,5,4,3,4,4
103,1,2,2,2,0,4,5,5,4,5,5,4,4,5,4,4,5,5,5,5,4,5,4,5
104,1,2,2,2,1,4,5,5,5,4,5,4,5,5,5,5,4,4,4,4,4,4,5,5
105,1,1,2,2,0,3,4,4,4,5,4,4,4,4,4,3,4,4,4,3,4,4,4,4
106,2,2,2,2,1,4,5,5,4,5,4,4,5,5,5,5,5,5,5,4,5,5,5,4
107,2,1,1,2,1,4,5,4,4,4,4,4,5,5,5,5,4,4,5,4,4,5,5,4
108,3,2,3,3,1,2,4,4,5,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5
109,1,1,2,2,1,4,4,5,4,4,5,4,4,4,4,4,5,5,4,5,5,5,4,5
110,1,1,2,2,0,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,4
111,1,2,2,2,1,4,5,5,5,4,4,5,5,5,5,4,4,4,4,4,4,5,5,5
112,3,2,2,3,1,2,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5
113,1,1,1,1,0,4,4,4,4,4,4,5,5,5,5,4,4,4,5,4,4,5,5,5
114,1,2,1,2,0,4,4,4,4,5,3,4,5,4,4,4,5,5,5,5,4,5,5,5
115,1,2,2,2,1,4,4,5,4,4,3,4,4,5,4,4,5,5,5,4,5,4,5,4
116,1,2,2,3,1,3,5,5,4,5,4,5,5,5,4,5,4,5,4,4,4,5,5,5
117,2,2,2,2,1,4,5,4,5,5,5,4,4,4,4,5,4,5,4,4,4,4,4,5
118,1,1,2,2,0,4,4,5,5,5,5,4,4,5,4,4,4,4,4,4,4,4,4,5
119,3,1,2,2,0,3,4,4,4,4,5,5,4,5,5,5,5,5,5,5,5,4,5,5
120,3,2,2,2,1,3,4,5,4,4,5,5,5,5,4,5,4,4,4,5,4,5,5,5
121,1,1,2,3,0,4,4,5,5,5,4,4,4,4,4,4,5,5,5,5,4,5,4,4
122,1,2,1,1,0,4,5,5,4,5,4,5,5,5,5,5,5,5,4,5,5,5,4,4
123,2,1,1,2,1,4,4,5,5,5,4,4,4,4,3,4,4,4,4,4,4,4,4,5
124,1,1,2,2,0,3,4,5,5,5,5,4,5,4,4,4,5,4,5,5,5,5,5,5
125,2,2,1,2,0,4,5,4,5,5,4,4,4,4,4,4,4,4,3,4,4,5,5,5
126,1,1,1,1,1,4,4,5,4,4,3,4,3,4,4,4,4,4,4,4,5,3,4,4
127,1,2,2,2,0,3,4,4,4,4,4,4,5,4,4,4,5,5,5,5,4,4,4,4
128,2,2,2,2,1,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4
129,1,1,1,2,0,4,4,4,5,4,5,4,4,4,4,4,5,5,5,5,4,5,5,5
130,1,2,2,3,0,4,4,5,5,5,5,5,4,5,5,5,4,5,5,5,5,4,5,5
131,1,2,2,3,1,3,4,4,4,4,2,3,2,3,3,3,2,3,3,3,3,3,4,3
132,1,1,1,2,0,4,4,4,4,5,4,4,4,5,4,4,4,4,4,4,4,5,5,5
133,1,2,2,2,0,4,4,5,5,5,4,4,5,4,4,4,4,4,5,4,4,4,5,5
134,1,1,2,2,0,4,5,5,5,5,5,4,4,4,5,4,4,4,5,4,4,4,4,4
135,1,2,2,2,1,4,5,5,5,5,5,4,4,5,4,4,4,5,5,5,5,4,4,4
136,2,2,1,2,1,4,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,4,4,4
137,3,1,3,3,1,3,4,4,4,4,4,5,4,4,4,4,5,4,5,5,5,4,4,4
138,3,2,3,3,1,3,4,4,4,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4
139,1,2,2,2,0,4,4,5,4,4,5,4,4,4,4,4,4,4,5,4,4,4,4,4
140,4,1,3,4,1,1,3,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3
141,3,2,3,2,1,3,5,5,5,5,5,4,5,5,5,5,4,4,5,4,4,5,5,5
142,1,2,2,2,1,3,4,4,5,4,4,5,5,4,5,5,4,4,4,4,4,4,4,4
143,1,2,2,2,1,2,5,5,5,4,5,5,5,5,5,4,4,4,4,4,4,5,4,4
144,1,2,1,1,1,4,5,4,4,4,4,4,4,5,4,4,4,5,5,5,5,4,4,4
145,2,1,1,2,1,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5,4,5
146,2,2,1,2,1,4,5,5,5,5,4,5,5,5,5,4,4,5,4,4,4,4,4,4
147,1,1,1,1,1,4,5,5,5,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5
148,3,2,3,2,0,3,4,5,5,5,4,4,4,4,4,4,4,4,4,4,5,4,5,5
149,2,2,1,2,0,4,5,5,4,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5
150,3,1,2,3,1,2,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4
151,3,2,2,3,1,2,4,3,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4
152,1,2,2,2,1,4,5,5,5,5,4,4,5,4,4,4,5,5,4,5,5,4,4,5
153,3,2,2,3,1,2,4,4,4,5,4,4,4,4,4,4,5,4,4,4,4,4,5,5
154,1,2,2,2,1,4,5,5,5,4,5,4,4,4,4,4,4,5,5,5,5,4,5,4
155,3,1,2,2,1,3,4,4,4,4,4,5,5,5,5,4,4,4,4,4,5,4,5,4
156,2,2,1,2,1,4,5,5,5,5,5,4,4,4,5,4,4,4,4,4,5,4,4,4
157,2,1,2,2,1,4,5,4,4,4,5,5,5,4,5,5,4,4,4,4,4,4,5,5
158,2,2,2,2,1,3,4,4,5,4,4,5,5,5,5,4,4,5,4,4,4,4,4,4
159,1,2,1,1,1,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4
160,3,2,2,2,1,4,4,4,4,4,4,4,4,5,4,4,4,5,5,5,5,5,5,5
161,1,2,2,2,1,3,5,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4,5,4
162,2,2,1,2,1,4,4,5,5,5,3,5,4,5,5,5,4,4,4,4,4,4,4,4
