ID;X1_1;X1_2;X1_3;X1_4;X1_5;X1_6;X1_7;X2_1;X2_2;X2_3;X2_4;X2_5;X3_1;X3_2;X3_3;X3_4;X3_5;X3_6;Y_1;Y_2;Y_3;Y_4;Y_5;Y_6;Y_7;Y_8;Y_9;Y_10
125;2;2;2;3;2;2;2;2;3;3;2;2;3;2;2;1;2;2;3;2;1;2;1;2;2;3;1;2
126;2;1;2;3;2;2;2;4;5;4;4;4;3;3;3;2;2;1;3;3;3;3;4;3;3;3;3;3
127;4;5;3;4;4;4;4;4;4;3;5;4;3;3;3;3;2;4;2;2;2;2;3;2;1;3;2;2
128;3;3;3;4;2;3;3;4;4;4;4;4;2;2;2;2;2;2;4;3;4;4;5;5;5;4;4;4
129;2;2;3;4;4;3;4;2;3;2;2;2;3;3;2;3;3;2;3;3;3;3;3;4;4;3;2;3
130;2;3;2;3;1;2;2;2;2;1;2;2;1;1;3;1;2;1;3;3;4;4;4;4;5;5;5;4
131;2;2;1;2;3;2;3;2;2;2;2;2;1;2;2;1;3;2;4;4;4;4;4;4;4;4;4;4
132;4;3;3;3;3;3;3;2;2;3;1;3;4;3;4;5;4;4;3;2;4;3;3;3;4;3;3;4
133;3;3;3;3;3;3;2;2;3;3;3;3;2;2;2;2;2;2;4;3;4;4;4;4;5;4;4;5
134;4;4;4;4;3;4;3;2;2;2;1;3;2;2;2;2;2;2;4;3;3;3;3;4;4;2;2;3
135;4;4;5;3;5;4;3;3;3;3;2;4;4;4;3;3;3;4;2;3;3;3;3;3;3;3;3;3
136;3;3;3;3;3;3;4;5;5;5;4;4;5;4;4;4;4;4;3;3;2;2;3;3;4;3;3;3
137;4;4;5;4;3;3;4;2;3;3;3;3;5;4;4;3;4;5;1;2;2;2;2;1;3;2;2;2
138;3;3;3;2;2;3;2;3;3;3;3;3;2;3;1;3;2;2;4;2;3;3;2;3;3;3;3;3
139;3;3;3;2;3;4;3;4;4;4;5;5;4;4;3;4;5;3;1;2;1;2;2;1;2;2;1;2
140;4;3;2;4;3;3;2;2;2;1;2;2;3;4;4;4;4;5;2;2;1;2;2;1;1;2;4;2
141;2;2;1;2;2;1;2;3;3;3;3;3;3;2;4;3;3;1;3;3;3;3;2;3;3;3;3;4
142;4;4;4;4;4;4;4;2;2;2;2;3;3;3;4;4;4;4;3;3;3;3;3;3;4;3;3;3
143;5;4;4;4;4;5;4;2;2;2;2;2;2;2;2;2;3;2;3;3;2;3;3;4;2;2;3;3
144;1;2;2;1;2;2;3;2;3;3;1;2;3;3;3;4;3;2;3;2;2;2;2;2;2;2;3;3
145;2;3;2;2;2;1;2;1;2;2;1;3;2;3;3;2;3;2;2;2;1;2;2;2;2;2;2;2
146;2;1;2;2;2;2;3;3;1;3;2;2;4;3;4;4;3;4;2;1;2;2;2;2;2;2;2;1
147;4;4;4;3;3;4;4;1;2;2;2;2;4;3;4;3;4;4;3;3;3;3;3;3;3;3;3;4
148;4;4;4;4;4;4;3;1;2;3;2;2;4;4;5;4;4;4;4;3;4;4;4;4;5;4;4;4
149;1;2;2;2;1;2;2;3;2;2;1;2;3;2;2;2;1;3;4;3;3;4;4;4;3;4;3;3
150;2;3;3;4;2;2;2;3;3;4;4;2;1;3;2;3;4;3;4;3;2;3;4;2;2;4;2;3
151;4;5;4;4;4;5;4;3;4;3;4;3;2;2;4;3;2;2;3;4;5;4;3;3;4;4;3;4
152;3;2;4;3;4;3;3;4;5;4;3;5;2;4;5;4;4;4;4;2;4;4;4;3;3;5;4;4
153;2;3;2;2;3;3;5;3;4;3;4;3;2;2;2;3;3;3;4;4;2;4;3;4;4;3;4;3
154;3;2;3;2;2;4;2;4;3;2;5;3;1;3;5;2;3;2;5;3;4;5;5;4;4;4;4;4
155;4;3;3;3;3;3;3;2;1;2;3;2;4;4;4;4;4;4;2;3;3;3;4;5;3;4;3;4
156;2;4;2;4;3;4;3;3;3;4;3;4;3;2;3;5;3;4;4;4;5;4;3;4;4;4;4;4
157;4;2;2;2;4;3;2;2;4;2;4;2;4;5;4;4;4;3;4;5;4;3;4;3;3;2;3;3
158;3;2;4;5;4;4;3;4;4;3;3;2;2;3;2;2;4;3;4;5;4;4;5;4;4;3;4;4
159;3;3;3;3;3;3;3;4;3;4;4;5;1;3;1;2;2;3;2;3;4;3;3;1;4;4;3;4
160;4;4;4;3;3;2;2;3;4;4;3;4;3;4;3;3;3;3;2;4;3;4;3;3;3;2;4;3
161;4;5;4;5;4;4;4;4;4;3;4;2;4;2;2;3;4;2;4;2;5;4;3;3;3;3;3;5
162;2;3;3;3;2;4;4;3;5;4;4;4;3;4;5;4;3;5;3;4;3;1;4;5;3;5;4;4
163;3;1;2;3;2;3;3;3;3;2;3;3;2;2;2;2;3;2;3;4;4;4;2;3;4;4;3;3
164;3;5;3;2;3;3;2;4;4;5;4;4;3;4;1;2;2;1;5;3;4;5;5;4;4;4;4;4
165;4;2;3;2;3;3;3;3;2;2;1;5;1;5;4;1;1;4;4;3;4;3;4;4;2;3;4;4
166;3;4;3;4;3;4;3;4;3;4;3;2;3;2;2;2;2;3;4;4;5;2;3;4;4;4;4;4
167;2;2;2;2;2;3;2;3;4;2;2;3;4;3;4;4;4;2;3;4;2;3;4;4;3;2;2;3
168;4;4;4;5;4;4;4;3;1;2;3;3;1;3;2;2;5;2;3;5;4;4;5;4;5;4;4;4
169;2;3;5;3;4;3;4;4;3;3;4;5;5;3;1;3;2;3;3;3;3;3;3;2;3;4;3;4
170;5;3;3;3;3;3;2;4;4;4;4;4;3;5;1;1;2;3;3;2;2;2;4;3;2;3;4;2
171;4;5;4;4;3;2;3;3;4;3;3;3;2;2;2;2;1;3;4;5;5;3;4;3;4;4;3;4
172;2;4;2;2;4;3;5;4;5;3;4;4;2;4;5;2;4;4;4;4;4;4;4;5;4;5;5;4
173;2;1;2;2;3;4;3;3;3;4;3;3;3;3;2;2;4;2;3;3;4;4;4;4;5;4;4;4
174;2;2;3;4;2;2;4;4;4;4;4;4;1;2;3;2;2;1;4;5;3;5;5;4;4;5;4;5
175;4;3;3;3;2;2;3;3;5;1;1;4;4;4;4;4;4;4;5;3;4;4;5;4;4;4;4;4
176;3;5;4;4;3;4;3;2;2;3;4;2;3;2;2;4;3;2;4;4;5;3;3;4;4;4;4;4
177;2;2;2;2;2;3;2;1;4;2;3;3;5;2;4;4;4;3;5;4;4;2;2;3;3;3;2;2
178;4;5;4;4;3;4;4;3;2;2;2;3;2;5;2;1;1;2;3;5;4;4;5;4;4;4;4;4
179;2;3;3;3;4;4;4;3;3;4;4;5;2;3;1;2;2;3;3;3;3;3;3;2;3;4;3;4
180;4;3;4;3;3;3;2;4;4;4;4;3;2;2;3;1;2;2;4;2;2;3;3;5;4;2;4;3
181;4;5;5;4;4;5;4;2;4;3;4;3;2;2;1;2;1;2;4;4;5;4;3;3;4;4;3;4
182;2;4;3;3;4;3;3;3;5;4;3;4;3;5;5;4;4;3;3;4;4;4;2;5;4;5;4;4
183;2;3;2;2;2;3;4;3;4;1;4;3;1;2;2;3;3;2;3;4;2;4;4;4;5;4;4;1
184;3;2;4;2;3;2;2;3;5;4;5;4;3;2;2;2;2;2;5;5;4;5;5;4;4;4;4;4
185;4;3;2;3;3;4;3;3;1;2;1;2;4;5;4;4;4;4;5;2;3;3;5;3;4;5;4;4
186;4;3;3;4;3;4;2;3;3;4;3;2;3;2;4;2;2;4;4;4;5;2;3;4;4;4;3;4
187;2;3;2;2;2;1;2;2;4;2;5;2;4;5;4;4;5;3;3;3;3;3;3;4;3;2;3;3
188;3;5;4;5;4;4;4;3;2;2;3;3;2;1;2;1;2;3;4;5;4;4;5;4;4;4;4;4
189;2;3;3;3;4;3;4;2;3;5;4;5;1;3;1;4;2;3;3;3;4;3;4;2;3;5;3;4
190;3;4;3;3;4;3;3;4;4;4;2;4;5;3;4;2;2;2;3;2;2;2;3;2;4;3;3;3
191;4;3;5;4;3;5;4;3;3;3;3;4;2;2;2;2;2;3;4;4;4;4;4;3;4;4;5;4
192;4;3;3;5;3;4;3;3;3;3;3;3;3;2;3;2;1;4;4;4;5;5;3;4;3;3;4;4
193;4;4;5;5;5;4;4;3;4;5;3;3;2;1;2;3;3;2;4;4;4;4;4;5;4;2;5;4
194;3;2;3;2;2;3;4;3;4;4;4;4;2;3;3;2;2;2;1;2;2;2;2;1;2;2;3;2
195;2;3;2;4;2;3;2;3;4;3;3;3;3;3;4;3;3;3;3;3;2;3;3;3;4;4;4;3
196;3;3;3;3;3;4;3;4;3;3;3;3;3;5;4;4;4;4;2;3;2;3;2;3;3;2;2;1
197;3;5;3;3;3;4;3;3;3;3;2;4;5;4;2;4;3;4;3;2;2;1;4;2;2;2;2;3
198;3;4;4;3;5;4;3;2;2;2;3;2;2;3;3;2;2;3;3;3;2;2;2;2;3;2;3;2
199;2;3;2;1;2;2;4;1;5;3;4;4;4;4;4;3;4;4;5;4;4;4;4;3;5;4;5;3
200;3;2;2;3;3;3;3;3;2;3;2;4;5;3;2;2;3;2;3;2;3;2;3;4;2;2;3;3
201;4;4;4;4;3;5;4;3;3;3;3;4;3;3;2;2;3;3;4;3;4;4;4;4;4;4;3;4
202;3;3;3;3;3;4;2;4;3;4;3;4;2;2;2;2;1;3;4;4;5;5;4;3;3;3;4;4
203;4;4;4;4;5;4;4;3;4;3;3;3;1;1;2;3;4;3;4;4;3;4;4;4;4;3;5;4
204;3;2;3;2;3;3;5;4;3;4;4;3;2;3;3;2;2;2;1;1;3;2;2;2;2;1;3;2
205;3;3;3;4;2;4;2;3;4;3;3;3;3;4;3;3;3;2;2;3;3;4;3;3;4;3;4;3
206;3;3;3;3;3;4;3;2;3;4;3;3;3;5;4;4;4;4;2;3;2;2;2;2;3;2;2;1
207;3;4;3;3;3;4;3;3;4;3;2;4;4;4;3;4;3;4;2;2;2;1;3;2;2;2;3;2
208;3;4;4;4;4;3;4;2;1;2;2;3;2;2;3;3;2;3;3;2;3;3;3;3;3;3;3;3
209;2;2;2;2;2;2;2;5;5;3;4;4;3;4;4;4;4;4;5;4;4;4;4;5;5;4;5;3
210;2;2;3;3;2;3;3;2;3;2;3;3;2;3;2;2;2;2;3;1;3;2;3;2;2;2;2;2
211;4;4;4;4;3;5;4;3;4;3;3;4;3;3;3;3;3;3;4;3;4;4;4;3;4;5;3;4
212;2;2;2;2;3;4;3;3;3;3;3;3;2;2;2;2;1;3;4;4;5;5;4;4;3;3;5;4
213;4;4;4;4;5;4;5;3;4;3;3;4;1;1;2;3;3;2;4;4;4;4;4;4;4;4;5;5
214;3;3;3;3;3;3;4;4;4;4;4;4;2;3;3;2;2;2;1;2;2;2;2;1;2;2;3;2
215;3;3;3;4;2;3;2;3;4;3;3;3;3;3;3;2;3;2;3;3;3;3;4;4;4;4;4;3
216;3;3;3;3;3;4;3;3;4;4;3;4;3;4;4;4;4;4;3;3;2;3;2;2;2;2;2;2
217;3;4;3;3;3;3;3;3;3;3;2;4;4;4;2;4;2;4;2;2;2;1;2;2;2;2;2;2
218;4;4;4;4;4;4;4;3;2;2;2;2;1;2;3;2;2;3;3;2;2;2;3;3;3;3;2;2
219;2;2;2;2;2;2;2;4;5;3;4;4;4;4;4;5;4;4;5;4;4;4;4;3;5;4;5;3
220;3;2;3;3;2;3;3;2;3;3;2;3;3;2;2;2;3;2;3;2;3;2;3;2;2;2;2;2
221;4;3;4;3;4;4;3;3;4;4;3;3;4;4;3;3;3;3;2;2;3;3;3;3;3;3;3;3
222;3;4;3;4;4;3;4;3;5;4;5;4;3;1;4;4;3;3;2;2;3;2;3;2;2;2;2;3
223;3;4;3;5;3;4;3;4;2;2;3;3;4;4;4;3;4;4;4;4;3;4;3;3;2;3;3;3
224;2;2;2;2;2;2;2;4;4;3;4;5;4;4;3;4;4;5;3;3;4;4;4;4;3;2;4;4
225;4;4;4;5;4;5;4;3;2;3;3;4;3;2;1;3;3;1;5;5;4;4;5;4;4;3;4;3
226;3;3;4;3;3;3;3;3;5;4;4;5;2;3;2;1;2;2;2;2;2;2;1;1;2;1;2;2
227;3;3;3;3;2;2;2;2;3;3;3;4;4;3;3;3;3;4;4;3;4;4;4;4;3;5;5;3
228;2;2;3;2;2;2;2;4;4;3;2;3;3;3;3;3;3;3;3;3;4;3;2;3;3;3;2;3
229;2;2;2;3;3;3;3;3;4;4;2;2;4;4;4;4;3;3;3;4;4;4;4;4;4;3;4;3
230;2;2;2;2;2;2;2;2;3;2;1;2;3;2;3;3;3;3;3;4;3;3;3;4;4;4;4;2
231;4;4;3;3;2;4;2;4;5;5;5;5;4;4;4;4;4;5;2;2;2;2;3;3;3;3;3;3
232;3;3;3;3;3;3;4;2;1;2;3;2;2;2;2;2;2;2;3;3;3;3;2;3;2;2;2;2
233;2;2;2;2;3;4;3;4;4;4;5;4;1;2;3;1;2;2;4;3;4;5;5;3;3;4;5;3
234;5;5;5;4;5;3;4;5;3;3;3;3;2;2;1;2;3;3;4;3;2;1;2;1;2;2;2;2
235;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;3;2;1;4;4;4;4;5;5;4;4;4;4
236;3;3;3;3;4;4;2;3;2;2;2;2;4;4;5;4;4;4;1;3;1;2;1;2;2;2;1;2
237;3;2;2;1;2;1;2;2;3;3;3;3;3;2;2;3;1;2;4;4;4;4;4;5;3;4;4;4
238;4;4;4;4;3;4;4;3;3;4;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2
239;3;4;2;3;4;4;4;4;4;5;4;4;4;4;4;4;4;4;3;5;5;4;3;4;5;5;5;5
240;4;3;4;5;4;4;4;3;2;2;3;1;4;5;4;5;4;4;3;3;4;4;4;4;3;3;2;3
241;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;2;2;2;2;3;3;3;3;1;3;3;3
242;2;3;3;3;3;3;3;3;4;4;3;4;4;5;3;5;3;5;5;4;5;5;5;4;4;5;4;3
243;3;3;3;3;4;3;4;4;4;4;5;3;2;2;2;2;4;4;4;4;4;4;4;4;4;3;4;4
244;3;4;4;3;3;4;4;5;5;4;3;4;4;3;3;3;3;3;2;2;3;2;2;2;2;1;1;5
245;3;3;3;3;2;3;3;3;4;4;4;4;5;5;5;5;4;4;2;1;1;1;2;3;2;2;2;2
246;3;3;3;3;2;2;2;2;2;1;2;2;4;4;3;4;4;3;2;1;2;3;2;1;2;2;1;3
247;1;2;3;2;2;2;2;3;3;3;3;3;2;3;3;3;4;3;4;4;4;4;4;4;4;4;4;2
248;2;2;2;2;2;3;2;3;4;4;4;4;3;4;4;3;3;4;1;2;3;3;3;3;3;3;3;4
249;3;3;3;3;5;4;4;5;5;5;4;4;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;1
250;3;1;2;2;3;3;3;5;4;4;4;5;3;3;3;3;4;4;4;4;5;4;3;4;4;4;5;2
